"Private Bag 0024, Gaborone
Private Bag F193,
Private Bag 32Private Bag 47
Tel: 3671300 Fax: 3952201
Francistown
GhanziMaun
Toll Free: 0800 600 200
Tel: 241 5848  Fax: 241 7540
Tel: 371 5723 Fax: 659 7506Tel: 371 5716 Fax: 686 4327
E-mail: info@statsbots.org.bw Website: http://www.statsbots.org.bw",Statistics Report 2021,Trea Sbtlaeti s1ti.c1sb,"e  pLoertn 2g0t2h1  of Roads (km) Maintained by the
Central Government by Type  (km), 2012-2021",Unnamed: 0,Unnamed: 1,Unnamed: 2,Table 1.1c: Len,"th of Roads (Km) Maintained by Local Authorities by District and Type, 2021",Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Sand/,Interlocking,Vehicle Type,"Table 2.1: Motor Vehicle Accident Trend, 2012 - 2021",Unnamed: 7,Unnamed: 8,Unnamed: 9,Number,Severity of Crash,Table 2.4: Accident S,"verity by Type Road Surface, 2021",Table,".5: Road Traffic Violations by MontTho,t a2l021",Unnamed: 10,Casualty Status,00-05,16.7,14.3,69.0,100,Table 2.7a: Casual,"y Injury by Vehicle Type, 2021","1.1a:  Total Length of Roads in Botswana (km) , 2017 - 2021",Casualty Injury,Casualties,"2012 10,693","5,737","1,506","17,936","5,807","54,613","1,811",-,"62,231","16,500","60,350","3,317","80,167",International Traffic,Domestic Traffic,Passenger,Motor,Tankers/,Vehicles/,Body Type,Mini,2012,"17,527","6,035",404,"401,015  2,066",43.7,84.8,15.0,29.2,10.10,19.6,Time of Occurrence,Unnamed: 11,Male,Female,Table 12: Cause of Accident by,"asualty Class, 2021",Table 13:,"river Casualties by Age, 2021",Francistown,219,432,313,964,929,954,357,"2,240","1,148 1,386",670,"3,204",Maun,"2,145","1,444","3,589","1,578","42,542",-.1,-.2,"44,120","3,723","43,986",-.3,"47,709",2012 964,"3,959","3,940","7,899","19,913","19,369","39,282","47,181","34,010","34,425","68,435","81,631","79,743","161,374","21,827","1,856",189,"23,872","21,415","1,675","23,309","43,242","3,531",408,Unnamed: 12,Unnamed: 13,Unnamed: 14,Sched,Imports,Exports,Total,Passengers,2013,2014,2015,2016,2017,2018,2019,2020,2021,Francistown District:,Maun District:,Serowe District:,Gantsi District:
,,,,51 – 55,4.8,3.7,,,,,,,,,,,,,,,,,,,,,4.7 3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,56 – 60,2.9,3.2,,,,,,,,,,,,,,,,,,,,,4.7 3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,61 – 65,5.8,2.2,,,,,,,,,,,,,,,,,,,,,2.1 1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,66 – 70,1.0,1.1,,,,,,,,,,,,,,,,,,,,,- 1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,71 – 75,1.9,0.9,,,,,,,,,,,,,,,,,,,,,1.0 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,>75,1.9,0.8,,,,,,,,,,,,,,,,,,,,,- 0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Total,100,100,,,,,,,,,,,,,,,,,,,,,100 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Total
2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vehicle Type,Casualty Injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Serious
Injuries","Minor
Injuries",Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fatalities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,19,24,,,45,,,,,,,,,,,,,,,,,,,,,,,,Bicycle,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,54,66,,,79,,,,,,,,,,,,,,,,,,,,,,,,Motor Cycle/Moped,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,566,"2,675","3,532",,,"3,065",,,,,,,,,,,,,,,,,,,,,,,,Car,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,9,10,,,58,,,,,,,,,,,,,,,,,,,,,,,,Taxi,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21,66,92,,,225,,,,,,,,,,,,,,,,,,,,,,,,4- wheel drive,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,150,487,685,,,834,,,,,,,,,,,,,,,,,,,,,,,,Pick-up,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,24,72,108,,,79,,,,,,,,,,,,,,,,,,,,,,,,Light Duty Vehicle,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,..,..,..,,,85,,,,,,,,,,,,,,,,,,,,,,,,Lorry,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,14,27,,,42,,,,,,,,,,,,,,,,,,,,,,,,Lorry with Trailer,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,40,245,296,,,355,,,,,,,,,,,,,,,,,,,,,,,,Mini- Bus,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,24,41,,,15,,,,,,,,,,,,,,,,,,,,,,,,Bus,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,3,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,Tractor,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,42,97,159,,,..,,,,,,,,,,,,,,,,,,,,,,,,Truck,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,24,30,,,21,,,,,,,,,,,,,,,,,,,,,,,,Animal drawn,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,27,104,142,,,142,,,,,,,,,,,,,,,,,,,,,,,,Other,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,913,"3,893","5,219",,,"5,052",,,,,,,,,,,,,,,,,,,,,,,,Total,413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Percent  of Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12.5,79.2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,Bicycle,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16.7,81.8,100,,,,,,,,,,,,,,,,,,,,,,,,,,,Motor Cycle/Moped,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16.0,75.7,100,,,,,,,,,,,,,,,,,,,,,,,,,,,Car,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10.0,90.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxi,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22.8,71.7,100,,,,,,,,,,,,,,,,,,,,,,,,,,,4- wheel drive,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21.9,71.1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,Pick-up,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22.2,66.7,100,,,,,,,,,,,,,,,,,,,,,,,,,,,Light Duty Vehicle,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,Lorry,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,18.5,51.9,100,,,,,,,,,,,,,,,,,,,,,,,,,,,Lorry with Trailer,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13.5,82.8,100,,,,,,,,,,,,,,,,,,,,,,,,,,,Mini- Bus,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,36.6,58.5,100,,,,,,,,,,,,,,,,,,,,,,,,,,,Bus,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,57.1,42.9,100,,,,,,,,,,,,,,,,,,,,,,,,,,,Tractor,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13.3,80.0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,Animal drawn,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,19.0,73.2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,17.5,74.6,100,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Percent of Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.3,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Bicycle,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.2,1.4,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Motor Cycle/Moped,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,62.0,68.7,67.7,,,,,,,,,,,,,,,,,,,,,,,,,,,Car,70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.1,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,Taxi,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2.3,1.7,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,4- wheel drive,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16.4,12.5,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Pick-up,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2.6,1.8,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Light Duty Vehicle,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,Lorry,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.5,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Lorry with Trailer,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4.4,6.3,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,Mini- Bus,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.6,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,Bus,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.4,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Tractor,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.4,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,Animal drawn,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3.0,2.7,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Source:  Botswana Poli,e Services ( Road Accident Statistics Unit),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Gravel,"Sand/
Track",Earth,,,"Interlocking
Bricks",Concrete,Total,,,,,,,,,,,,,Year,,,,,,,,,,,Bitumen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"11,014.2","5,262.5","5,574.9",,,93.0,6.0,"31,746.2",,,,,,,,,,,,,2017,,,,,,,,,,,"9,795.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"11,014.2","5,262.5","5,574.9",,,108.2,6.0,"31,761.4",,,,,,,,,,,,,2018,,,,,,,,,,,"9,795.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"5,302.4","11,044.6","10,065.2",,,233.0,6.1,"32,114.7",,,,,,,,,,,,,2019,,,,,,,,,,,"5,463.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"10,837.0","5,445.9","5,605.4",,,276.6,6.4,"32,562.8",,,,,,,,,,,,,2020,,,,,,,,,,,"10,391.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"10,709.5","5,445.9","5,605.4",,,276.6,6.4,"32,564.3",,,,,,,,,,,,,2021,,,,,,,,,,,"10,520.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Source,,,,,,,,,,,"Department of Roads, Ministry of Transport and Communications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,Serious Minor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Collision Type,,Total,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,Fatalities Injuries Injuries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Nose-to-tail,453.0,546,,,563,,,,,,,,,,,,,,,,,,,,,,,,,,,22  71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Side,812.0,997,,,1079,,,,,,,,,,,,,,,,,,,,,,,,,,,56  129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Head On,309.0,491,,,440,,,,,,,,,,,,,,,,,,,,,,,,,,,62  120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hit Pedestrian,895.0,"1,172",,,936,,,,,,,,,,,,,,,,,,,,,,,,,,,98  179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Wild Animal,24.0,31,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,1  6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Domestic Animal,161.0,217,,,215,,,,,,,,,,,,,,,,,,,,,,,,,,,10  46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Obstacle,254.0,325,,,327,,,,,,,,,,,,,,,,,,,,,,,,,,,20  51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Roll Over,583.0,930,,,1037,,,,,,,,,,,,,,,,,,,,,,,,,,,115  232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Other,402.0,510,,,428,,,,,,,,,,,,,,,,,,,,,,,,,,,29  79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
